Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1848.344025
FDW14,OUT017,1666.4974
NCN55,OUT010,1667.4128750000002
FDQ58,OUT017,2031.3557999999998
FDY38,OUT027,5006.4830999999995
FDH56,OUT046,1974.5963499999998
FDL48,OUT018,1792.16715
FDC48,OUT027,1612.2347
FDN33,OUT045,1853.1710750000002
FDA36,OUT017,2959.64745
FDT44,OUT017,1945.217925
FDQ56,OUT045,1440.95765
NCC54,OUT019,393.238125
FDU11,OUT049,2469.7018749999997
DRL59,OUT013,1834.2789999999998
FDM24,OUT049,3030.139025
FDI57,OUT045,2256.56265
DRC12,OUT018,2068.390925
NCM42,OUT027,3099.4654499999997
FDA46,OUT010,477.7115
FDA31,OUT013,2932.5161000000003
NCJ31,OUT035,2437.66025
FDG52,OUT046,1053.9614000000001
NCL19,OUT019,345.966325
FDS10,OUT035,3004.1728249999996
FDX22,OUT010,515.3292
NCF19,OUT035,1682.226925
NCE06,OUT046,2769.3950999999997
DRC27,OUT046,3876.7869499999997
FDE21,OUT035,2766.315775
NCR42,OUT019,242.26797499999998
FDX51,OUT018,2431.2519250000005
NCR06,OUT018,1304.218975
FDU31,OUT027,5703.908600000001
FDU59,OUT017,2046.0034
FDR03,OUT027,6174.2963
FDS49,OUT027,2199.3870749999996
FDD48,OUT010,155.46429999999998
NCF18,OUT017,3400.40705
NCD43,OUT027,2664.7812750000003
NCD54,OUT018,1623.2204
FDY19,OUT010,313.508575
NCY54,OUT017,2155.610725
NCL19,OUT018,1535.917375
FDP23,OUT010,992.3749
FDC26,OUT013,1773.3582999999999
FDR14,OUT010,292.45265
NCS41,OUT035,2807.096025
FDF41,OUT035,3822.940375
FDU34,OUT046,2395.5483999999997
DRH11,OUT046,1477.24375
FDM03,OUT013,1998.3986999999997
FDS31,OUT017,2761.4055
FDJ20,OUT017,1477.326975
FDV44,OUT027,4415.5856
FDG02,OUT049,2840.219575
FDA09,OUT013,3521.332975
FDT04,OUT013,1540.2450749999998
FDL58,OUT019,655.063975
FDE52,OUT045,1801.9877000000001
FDW12,OUT035,1488.2294499999998
FDL51,OUT017,2061.233575
NCY42,OUT027,3847.408525
FDR07,OUT017,1681.145
FDN40,OUT045,1888.125575
FDB35,OUT027,3124.4329500000003
FDA22,OUT017,2418.601725
NCL06,OUT046,3697.1041750000004
FDI35,OUT013,2227.517125
NCW42,OUT045,3599.065125
NCX06,OUT049,3856.396825
FDC37,OUT027,2278.3676
FDZ14,OUT018,2300.755125
DRG49,OUT049,3779.4969249999995
NCG06,OUT045,3659.1535750000003
DRC36,OUT045,2784.9581749999998
FDV21,OUT019,214.88695
FDB53,OUT046,1955.1217
DRP47,OUT019,1347.74565
FDA14,OUT013,1983.0020749999999
DRC24,OUT035,2264.3025749999997
FDW21,OUT018,2165.68095
NCH29,OUT046,2425.01005
FDU58,OUT013,2178.7472749999997
FDY27,OUT017,3256.92715
FDV56,OUT035,1706.195725
FDT59,OUT046,3263.58515
FDB23,OUT046,3242.446
FDR49,OUT045,1530.84065
FDB03,OUT010,524.9833
FDN39,OUT045,2042.258275
FDX02,OUT027,6051.95555
FDQ16,OUT027,2375.990525
FDU35,OUT018,2321.9775
NCT29,OUT013,2017.290775
FDZ27,OUT046,2076.546975
FDN57,OUT017,2506.3208750000003
FDA03,OUT018,2091.860375
FDZ36,OUT045,3039.6266750000004
NCU05,OUT013,1755.298475
FDT39,OUT018,2336.708325
FDK60,OUT017,1604.578
FDZ25,OUT017,3302.86735
FDG12,OUT046,3069.83735
DRB01,OUT019,365.27452500000004
NCC43,OUT027,5815.26365
FDX13,OUT019,1218.24755
FDM22,OUT049,1504.458325
FDJ03,OUT027,1749.306275
FDU14,OUT018,3247.0233749999998
FDB33,OUT010,362.278425
FDP27,OUT046,3162.7996749999998
FDO38,OUT010,250.50725
FDE28,OUT027,5387.903275000001
FDO27,OUT035,2206.211525
DRL23,OUT027,3338.570875
FDS28,OUT046,1200.853525
FDX24,OUT013,1612.484375
FDZ02,OUT035,2574.3157
FDL46,OUT045,2204.380575
FDS60,OUT027,3726.4826000000003
NCO06,OUT017,766.83515
FDO16,OUT035,1741.316675
FDC60,OUT049,1261.6909999999998
FDA48,OUT018,2356.5991000000004
FDZ36,OUT027,4843.278875
FDK27,OUT045,1679.6469500000003
FDW23,OUT018,1660.5052
FDM14,OUT018,1845.847275
FDM14,OUT013,1804.9838
FDW60,OUT018,1757.5455499999998
FDE21,OUT013,2272.54185
NCM42,OUT035,2354.2688000000003
FDY59,OUT010,143.31345
DRI49,OUT049,3195.1742
FDT28,OUT019,327.32392500000003
FDQ22,OUT018,1558.221675
FDR60,OUT049,1676.900525
FDC50,OUT019,830.835175
FDV24,OUT013,2420.932025
DRF48,OUT010,429.7739
FDQ47,OUT046,1297.6442
DRN36,OUT049,1783.0124
NCY06,OUT035,2655.2104
FDE52,OUT035,2327.9697
NCB54,OUT045,2303.751225
NCF31,OUT035,2505.3221750000002
FDJ08,OUT027,5156.204874999999
NCC07,OUT017,1903.5221999999999
NCD19,OUT027,1248.7078999999999
FDL46,OUT049,1868.983825
FDM20,OUT045,2656.2091
NCI06,OUT010,431.35517500000003
DRM11,OUT035,3272.0741
NCH07,OUT018,1633.8732
FDS23,OUT013,1477.0773000000002
FDO49,OUT018,1823.7094250000002
FDS35,OUT049,2153.779775
DRK39,OUT045,1433.384175
DRI39,OUT049,917.389175
FDV04,OUT017,1897.1970999999999
NCN14,OUT035,2483.7669
FDH08,OUT013,3261.92065
FDS20,OUT046,2820.8281500000003
FDV40,OUT049,1193.28005
FDZ48,OUT010,164.702275
FDS24,OUT027,2445.98275
FDK44,OUT049,2361.842275
FDS48,OUT045,2163.6003250000003
FDK26,OUT010,279.885675
FDD23,OUT045,3190.7632750000002
NCH54,OUT017,2729.7799999999997
NCP14,OUT010,300.9416
FDM60,OUT010,171.94285
FDV24,OUT017,2557.6706999999997
FDH08,OUT018,3139.41345
FDS12,OUT027,3000.2612499999996
FDR39,OUT027,5073.0631
FDP12,OUT027,2445.98275
DRF60,OUT027,4513.95755
FDC09,OUT035,1617.644325
FDF50,OUT018,2390.305225
FDG28,OUT035,3331.9961
NCE19,OUT017,1400.926425
NCM53,OUT010,354.28882500000003
NCN18,OUT049,1944.30245
FDF32,OUT035,3357.79585
FDF11,OUT013,2781.54595
DRI59,OUT049,3463.3251499999997
NCG54,OUT035,3605.5566750000003
FDM44,OUT046,1514.778225
FDT57,OUT018,3144.157275
FDV24,OUT046,1887.126875
FDI50,OUT019,452.0782
FDS09,OUT035,1247.459525
NCC31,OUT027,4223.8351999999995
FDQ07,OUT019,473.3838
FDC22,OUT017,2773.306675
FDZ56,OUT046,2439.4912000000004
FDZ40,OUT019,159.708775
FDS46,OUT027,2772.55765
DRD24,OUT045,1954.0397749999997
FDV45,OUT017,3106.373125
FDL26,OUT045,2587.9646000000002
FDA56,OUT018,2283.777225
FDN27,OUT046,907.568625
FDM20,OUT049,2829.1506499999996
FDO16,OUT017,1500.3802999999998
FDL03,OUT035,3268.994775
FDE58,OUT046,2194.3103499999997
FDI02,OUT027,3881.530775
NCC55,OUT019,159.875225
FDR03,OUT018,2364.671925
FDB14,OUT017,2092.11005
FDR45,OUT013,3754.7790999999997
NCN07,OUT017,1643.943425
FDM51,OUT019,539.214775
FDT52,OUT027,5555.6016500000005
FDL26,OUT046,2433.2493249999998
NCZ42,OUT046,2551.6785
DRI47,OUT019,1469.004475
FDW40,OUT013,2387.142675
FDN34,OUT046,1309.12925
FDS01,OUT035,2364.08935
NCG55,OUT045,1878.9708249999999
FDC11,OUT035,1802.2373750000002
FDX35,OUT018,2441.32215
NCB06,OUT046,2597.5354749999997
FDR09,OUT019,596.972925
FDC53,OUT017,1387.36075
FDY45,OUT013,2915.5382
FDA22,OUT010,1099.73515
FDE02,OUT035,1218.24755
FDW21,OUT045,1629.462275
FDV34,OUT046,1097.40485
FDS59,OUT049,2480.93725
NCW17,OUT017,1960.3648750000002
NCK54,OUT046,1627.881
FDG17,OUT019,535.969
FDG35,OUT017,2685.8372000000004
FDD08,OUT010,185.841425
NCO07,OUT017,3524.329075
FDJ10,OUT010,310.013125
FDW36,OUT017,1711.4389
FDW21,OUT010,404.80640000000005
FDY19,OUT017,1643.36085
DRE03,OUT013,1287.074625
NCC55,OUT049,900.66095
FDH52,OUT010,258.16395
FDO09,OUT017,3961.51
FDU43,OUT045,4824.636474999999
FDX09,OUT010,478.7102
FDH40,OUT019,372.764775
FDW58,OUT017,2045.1711500000001
FDC47,OUT017,4431.3983499999995
NCR41,OUT035,1591.09555
DRG49,OUT035,2606.1908750000002
FDC52,OUT027,3791.0652
FDY13,OUT046,1585.6027
FDY35,OUT013,1644.8589000000002
FDI35,OUT017,2948.66175
NCU18,OUT049,3088.4797500000004
FDY33,OUT018,2257.3949000000002
FDC15,OUT027,3351.2210749999995
